off_long,off_lat,pop_up
116.322,39.888,6
116.322,39.9,1
116.322,39.904,17
116.322,39.908,3
116.322,39.956,33
116.323,39.691,5
116.323,39.693,1
116.323,39.701,3
116.323,39.797,1
116.323,40.034,4
116.324,39.73,3
116.324,40.051,5
116.324,40.054,2
116.325,39.313,3
116.325,39.707,5
116.325,39.975,3
116.326,39.704,3
116.326,39.723,5
116.326,39.731,4
116.326,39.735,7
116.326,39.742,2
116.326,39.75,3
116.326,39.752,1
116.326,39.786,4
116.326,39.906,34
116.326,39.966,4
116.327,39.302,2
116.327,39.327,1
116.327,39.53,10
116.327,39.711,10
116.327,39.756,1
116.327,39.775,2
116.327,39.786,4
116.327,39.861,13
116.327,39.888,3
116.327,39.906,1
116.327,39.956,22
116.327,39.97,4
116.327,39.974,20
116.328,39.782,2
116.328,39.871,12
116.328,39.888,4
116.328,39.895,13
116.328,39.896,4
116.328,39.909,1
116.328,39.964,1
116.328,39.991,4
116.328,40.201,7
116.329,39.73,6
116.329,39.813,1
116.329,39.912,1
116.329,39.975,2
116.33,39.73,1
116.33,39.753,1
116.33,39.789,2
116.33,39.816,2
116.33,39.82,16
116.33,39.868,7
116.33,39.937,5
116.33,39.949,1
116.331,39.718,8
116.331,39.721,7
116.331,39.75,1
116.331,39.888,6
116.331,39.966,15
116.331,40.035,1
116.331,40.069,4
116.331,40.083,10
116.332,39.287,1
116.332,39.807,5
116.332,39.847,6
116.332,39.866,2
116.332,39.888,5
116.332,39.906,47
116.333,39.737,2
116.333,39.74,5
116.333,39.742,4
116.333,39.744,8
116.333,39.847,11
116.333,39.866,15
116.334,39.896,33
116.334,39.936,5
116.334,39.987,1
116.334,39.99,11
116.335,39.264,1
116.335,39.821,17
116.335,39.956,23
116.336,39.76,11
116.336,39.912,4
116.336,39.966,3
116.336,40.036,1
116.337,39.756,9
116.337,39.789,1
116.337,39.927,3
116.337,39.933,1
116.337,39.999,1
116.337,40.087,1
116.338,39.719,4
116.338,39.74,8
116.338,39.745,10
116.338,39.896,2
116.338,39.914,1
116.338,39.918,1
116.338,39.923,1
116.338,39.966,10
116.338,39.991,10
116.339,39.722,2
116.339,39.723,7
116.339,39.728,10
116.339,39.729,1
116.339,39.736,7
116.339,39.824,17
116.339,39.906,129
116.339,39.991,2
116.339,40.206,3
116.34,39.725,3
116.34,39.835,19
116.34,39.867,1
116.34,39.888,17
116.34,39.955,17
116.341,39.72,1
116.341,39.792,1
116.341,39.847,9
116.341,39.856,7
116.341,39.935,7
116.341,39.952,6
116.342,39.844,5
116.342,39.891,3
116.342,39.948,12
116.342,39.966,39
116.342,40.029,2
116.343,39.242,1
116.343,39.944,13
116.343,39.966,8
116.343,39.999,1
116.344,39.873,18
116.344,39.877,1
116.344,39.878,1
116.344,39.885,4
116.344,39.906,70
116.344,39.992,3
116.345,39.866,10
116.345,39.9,2
116.345,40.017,5
116.345,40.024,2
116.346,39.866,18
116.346,39.894,11
116.346,39.907,3
116.346,39.911,2
116.346,39.971,15
116.346,40.002,1
116.347,39.875,21
116.347,39.879,34
116.347,39.883,11
116.347,39.89,10
116.347,39.891,1
116.347,39.916,11
116.347,39.936,16
116.347,39.963,1
116.347,39.981,16
116.347,39.989,19
116.348,39.87,16
116.348,39.955,2
116.349,39.713,9
116.349,39.866,3
116.349,39.882,5
116.349,39.934,1
116.349,39.943,2
116.349,39.949,2
116.349,39.951,1
116.35,39.844,3
116.35,39.902,2
116.35,39.909,2
116.35,39.924,6
116.35,39.946,8
116.35,39.975,12
116.351,39.868,3
116.351,39.999,4
116.351,40.016,3
116.352,39.876,5
116.352,39.888,15
116.352,39.906,124
116.352,39.956,1
116.352,39.966,8
116.352,39.98,9
116.352,39.992,1
116.353,39.852,4
116.353,39.878,3
116.353,39.881,2
116.353,39.975,17
116.353,39.992,7
116.354,39.852,15
116.355,39.868,1
116.355,39.898,5
116.356,39.844,3
116.356,39.867,6
116.356,39.868,18
116.356,39.876,1
116.356,39.882,7
116.357,39.872,2
116.357,39.875,5
116.357,39.899,1
116.358,39.843,1
116.358,39.888,9
116.358,39.898,2
116.358,39.906,23
116.358,39.993,7
116.358,39.997,4
116.358,39.998,4
116.358,40.219,2
116.359,39.811,1
116.359,39.877,2
116.359,39.966,9
116.359,39.973,2
116.36,39.82,2
116.36,39.868,3
116.36,39.992,13
116.361,39.797,1
116.361,39.844,11
116.361,39.868,6
116.361,39.966,12
116.361,39.975,5
116.361,40.062,2
116.362,39.877,2
116.362,39.882,2
116.362,39.975,3
116.363,39.869,7
116.363,39.974,2
116.363,40.224,4
116.364,39.832,3
116.364,39.888,11
116.364,39.906,2
