off_long,off_lat,pop_up
116.317,39.951,2
116.317,39.965,1
116.317,39.966,3
116.317,39.991,1
116.317,40.075,3
116.318,39.349,4
116.318,39.509,2
116.318,39.513,8
116.318,39.55,1
116.318,39.67,3
116.318,39.7,2
116.318,39.906,39
116.318,39.942,1
116.318,39.947,2
116.318,40.079,4
116.319,39.514,1
116.319,39.53,4
116.319,39.531,8
116.319,39.62,1
116.319,39.626,6
116.319,39.629,4
116.319,39.906,2
116.319,39.935,2
116.319,40.059,6
116.32,39.52,21
116.32,39.565,4
116.32,39.572,2
116.32,39.731,3
116.32,40.083,1
116.32,40.203,13
116.321,39.59,2
116.321,39.606,3
116.321,39.781,1
116.321,39.848,4
116.321,39.87,3
116.321,39.937,5
116.321,39.991,2
116.322,39.788,3
116.322,39.888,4
116.322,39.904,9
116.322,39.908,1
116.322,39.956,22
116.322,39.991,4
116.323,39.701,2
116.323,39.797,2
116.323,39.888,2
116.324,39.73,2
116.324,39.777,1
116.324,39.789,4
116.324,39.815,3
116.324,40.051,4
116.324,40.054,1
116.325,39.975,1
116.325,40.084,2
116.326,39.723,8
116.326,39.731,4
116.326,39.735,6
116.326,39.742,3
116.326,39.75,3
116.326,39.752,3
116.326,39.786,1
116.326,39.906,25
116.326,39.966,2
116.327,39.302,1
116.327,39.327,1
116.327,39.53,2
116.327,39.711,3
116.327,39.712,1
116.327,39.756,3
116.327,39.786,2
116.327,39.861,8
116.327,39.888,4
116.327,39.956,8
116.327,39.97,5
116.327,39.974,8
116.328,39.782,4
116.328,39.871,6
116.328,39.888,1
116.328,39.895,1
116.328,39.896,2
116.328,39.991,1
116.328,39.995,1
116.328,40.201,2
116.329,39.763,2
116.329,39.937,1
116.329,40.081,1
116.33,39.753,4
116.33,39.755,2
116.33,39.789,4
116.33,39.82,9
116.33,39.868,4
116.33,39.937,1
116.331,39.718,6
116.331,39.721,6
116.331,39.749,3
116.331,39.786,1
116.331,39.906,1
116.331,39.966,6
116.331,40.069,3
116.331,40.083,1
116.332,39.287,5
116.332,39.746,3
116.332,39.807,1
116.332,39.847,11
116.332,39.866,4
116.332,39.888,1
116.332,39.906,9
116.333,39.742,2
116.333,39.866,3
116.333,39.896,1
116.334,39.896,21
116.335,39.821,8
116.335,39.956,6
116.336,39.76,17
116.336,39.789,2
116.337,39.756,13
116.337,39.927,1
116.337,39.999,6
116.338,39.719,4
116.338,39.74,14
116.338,39.745,9
116.338,39.896,4
116.338,39.918,1
116.338,39.923,1
116.338,39.975,3
116.338,39.991,5
116.339,39.723,5
116.339,39.728,13
116.339,39.729,1
116.339,39.736,10
116.339,39.802,1
116.339,39.824,7
116.339,39.906,91
116.339,39.991,1
116.339,40.206,3
116.34,39.725,4
116.34,39.735,1
116.34,39.835,6
116.34,39.888,11
116.34,39.955,5
116.341,39.792,2
116.341,39.847,8
116.341,39.856,2
116.341,39.935,4
116.341,39.952,3
116.342,39.891,4
116.342,39.948,6
116.342,39.966,9
116.342,40.029,1
116.343,39.242,2
116.343,39.906,5
116.343,39.944,1
116.343,39.966,3
116.344,39.873,3
116.344,39.877,7
116.344,39.881,2
