off_long,off_lat,pop_up
116.269,39.927,1
116.269,39.928,1
116.269,39.947,4
116.269,39.954,3
116.269,40.028,32
116.27,39.875,7
116.27,39.888,7
116.27,40.019,4
116.27,40.031,10
116.271,39.755,3
116.271,39.876,3
116.271,39.877,1
116.271,39.906,87
116.271,39.955,2
116.271,40.001,1
116.271,40.048,2
116.271,40.169,1
116.271,40.199,5
116.271,40.211,1
116.272,39.603,2
116.272,39.751,7
116.272,39.845,3
116.272,40.024,6
116.272,40.025,9
116.273,39.87,1
116.273,40.088,5
116.274,39.87,15
116.274,39.98,3
116.274,39.99,1
116.274,40.022,14
116.274,40.162,49
116.275,39.868,4
116.275,39.899,10
116.275,39.916,2
116.275,39.955,1
116.276,39.551,1
116.276,39.855,20
116.276,39.859,5
116.276,39.861,15
116.276,39.866,1
116.276,39.906,52
116.276,39.996,3
116.277,39.85,97
116.277,39.855,122
116.277,39.861,37
116.278,39.911,4
116.278,39.973,3
116.278,40.0,1
116.278,40.018,3
116.278,40.032,5
116.278,40.049,1
116.278,40.108,18
116.279,39.695,2
116.279,39.751,4
116.279,39.841,2
116.279,39.846,9
116.279,39.997,1
116.279,40.2,3
116.28,39.788,2
116.28,39.802,6
116.28,39.837,140
116.28,39.923,1
116.28,40.021,20
116.28,40.043,2
116.281,39.833,94
116.281,39.834,8
116.281,39.864,12
116.281,39.899,6
116.281,39.906,16
116.281,40.006,8
116.281,40.01,13
116.281,40.207,2
116.281,40.209,1
116.281,40.21,1
116.282,39.839,2
116.282,39.847,7
116.283,39.784,16
116.283,39.825,51
116.283,39.827,37
116.283,39.978,5
116.283,39.998,23
116.283,40.032,14
116.283,40.206,1
116.284,39.746,1
116.284,39.775,4
116.284,39.794,15
116.284,39.805,10
116.284,39.806,1
116.284,39.812,13
116.284,39.814,12
116.284,39.816,11
116.284,39.819,3
116.284,39.821,13
116.284,39.835,4
116.284,40.103,4
116.285,39.432,4
116.285,39.742,3
116.285,39.781,5
116.285,39.842,3
116.285,39.996,10
116.285,39.997,9
116.285,40.022,17
116.285,40.039,13
116.285,40.092,9
116.286,39.833,1
116.286,39.864,42
116.286,40.099,2
116.287,39.43,1
116.287,39.779,61
116.287,39.854,1
116.287,39.906,55
116.287,40.052,20
116.288,39.849,2
116.288,39.862,1
116.288,39.866,2
116.288,39.87,2
116.288,39.88,2
116.288,39.89,1
116.288,39.897,1
116.288,40.042,18
116.288,40.092,12
116.289,39.935,1
116.289,40.206,10
116.29,39.696,1
116.29,39.742,1
116.29,39.877,1
116.29,39.888,40
116.29,39.906,4
116.29,39.916,5
116.29,39.969,1
116.29,39.971,3
116.291,39.778,1
116.291,39.832,1
116.291,39.841,2
116.291,39.965,15
116.292,39.78,1
116.292,39.813,89
116.292,39.816,11
116.292,39.865,12
116.292,40.023,24
116.292,40.05,18
116.293,39.811,197
116.293,39.922,12
116.293,40.032,2
116.293,40.041,7
116.294,39.906,56
116.294,39.977,3
116.294,39.978,1
116.294,39.996,3
116.294,40.044,25
