off_long,off_lat,pop_up
116.287,39.854,2
116.287,39.899,2
116.287,39.906,18
116.287,40.052,5
116.288,39.849,1
116.288,40.042,1
116.288,40.092,8
116.289,40.206,7
116.29,39.696,5
116.29,39.742,1
116.29,39.888,9
116.29,39.896,1
116.29,39.969,4
116.29,39.971,1
116.291,39.778,1
116.291,39.965,1
116.292,39.78,2
116.292,39.813,11
116.292,39.816,4
116.292,39.865,2
116.292,40.023,4
116.292,40.05,1
116.293,39.772,1
116.293,39.811,21
116.293,39.922,5
116.293,40.032,3
116.293,40.041,1
116.294,39.906,16
116.294,39.978,1
116.294,40.044,4
116.295,39.856,3
116.295,39.888,23
116.295,39.896,1
116.295,39.996,1
116.295,40.044,5
116.296,39.43,2
116.296,39.865,6
116.296,40.087,1
116.296,40.205,8
116.297,39.88,4
116.297,39.957,1
116.297,40.033,2
116.298,39.742,4
116.298,39.865,3
116.298,39.911,2
116.299,39.839,1
116.299,39.923,4
116.299,40.043,4
116.3,39.952,2
116.3,40.024,1
116.301,39.905,1
116.301,40.032,4
116.301,40.049,1
116.301,40.205,9
116.302,39.418,2
116.302,39.856,1
116.302,39.866,22
116.302,40.038,1
116.302,40.079,1
116.303,39.408,4
116.303,39.414,2
116.303,39.43,1
116.303,39.433,5
116.303,39.437,5
116.303,39.442,5
116.303,39.453,1
116.303,39.463,1
116.303,39.9,6
116.303,39.908,4
116.303,39.911,3
116.303,39.912,1
116.303,39.92,10
116.303,39.927,4
116.303,39.936,2
116.303,39.948,6
116.303,39.953,5
116.304,39.698,1
116.304,39.786,1
116.304,39.88,2
116.304,39.888,6
116.304,39.889,7
116.304,39.895,2
116.304,39.906,23
116.304,39.912,4
116.304,39.921,8
116.304,39.943,13
116.304,39.946,5
116.305,39.748,1
116.305,39.786,1
116.305,39.836,1
116.305,39.872,4
116.305,39.873,4
116.305,40.031,1
116.306,39.907,7
116.306,39.998,1
116.306,40.051,2
116.307,39.374,1
116.307,39.863,8
116.307,39.866,19
116.307,39.963,10
116.307,39.984,2
116.307,40.023,2
116.307,40.025,3
116.307,40.026,5
116.308,39.909,2
116.308,40.002,2
116.308,40.071,2
116.309,39.363,2
116.309,39.886,2
116.309,39.939,13
116.309,39.994,1
116.309,39.996,5
116.309,40.069,5
116.31,39.789,2
116.31,39.857,3
116.31,39.986,4
116.311,39.509,1
116.311,39.855,5
116.311,39.886,2
116.311,40.014,1
116.312,39.477,1
116.312,39.699,5
116.312,40.008,2
116.312,40.066,1
116.313,39.887,2
116.313,39.896,3
116.313,39.965,15
116.313,39.974,1
116.314,39.866,2
116.314,39.909,6
116.314,40.047,2
116.315,39.742,4
116.315,39.866,10
116.315,39.888,5
116.315,39.895,1
116.316,39.867,1
116.316,39.959,16
116.316,40.034,3
116.316,40.083,1
116.317,39.501,2
116.317,39.896,4
116.317,39.906,17
116.317,39.951,2
116.317,39.966,2
116.317,39.991,2
116.318,39.349,14
116.318,39.513,5
116.318,39.7,1
116.318,39.737,2
116.318,39.906,29
116.318,39.942,5
116.318,39.947,3
116.318,40.079,1
116.319,39.53,12
116.319,39.616,1
116.319,39.62,2
116.319,39.626,1
116.319,39.629,2
116.319,39.906,4
116.319,39.935,2
116.319,39.939,1
116.319,40.059,1
116.32,39.52,10
116.32,39.731,1
116.32,39.848,1
116.32,39.975,1
116.32,40.083,1
116.32,40.203,43
116.321,39.848,5
116.321,39.87,4
116.321,39.937,5
116.321,39.991,2
116.321,40.055,1
116.322,39.788,1
116.322,39.888,3
116.322,39.9,2
116.322,39.904,3
116.322,39.908,1
116.322,39.956,12
116.323,39.797,2
116.323,39.888,1
116.323,40.034,2
116.324,39.704,1
116.324,39.73,2
116.324,39.789,1
116.324,39.815,3
116.324,40.051,3
116.325,39.313,8
116.325,39.975,1
116.326,39.723,1
116.326,39.74,5
116.326,39.742,1
116.326,39.75,1
116.326,39.752,2
116.326,39.906,29
116.326,39.966,7
116.327,39.302,4
116.327,39.327,6
116.327,39.53,7
116.327,39.711,3
116.327,39.712,3
116.327,39.786,3
116.327,39.861,9
116.327,39.888,2
116.327,39.956,6
116.327,39.97,1
116.327,39.974,1
116.328,39.782,2
116.328,39.871,5
116.328,39.888,3
116.328,39.895,6
116.328,39.909,3
116.328,39.995,1
116.328,40.201,24
116.329,39.757,1
116.329,39.813,1
116.329,39.912,2
116.329,39.937,4
116.329,39.975,2
116.33,39.753,2
116.33,39.816,5
116.33,39.82,4
116.33,39.868,1
116.33,39.937,4
116.33,40.074,3
116.331,39.718,5
116.331,39.721,1
116.331,39.749,3
116.331,39.888,1
116.331,40.069,3
116.331,40.083,1
116.332,39.287,8
116.332,39.72,2
116.332,39.746,3
116.332,39.807,2
116.332,39.847,9
116.332,39.906,20
116.333,39.742,8
116.333,39.847,4
116.333,39.866,11
116.334,39.758,1
116.334,39.936,5
116.334,39.99,2
116.335,39.264,4
116.335,39.761,2
116.335,39.821,11
116.335,39.956,3
116.336,39.76,4
116.336,39.912,2
116.336,39.966,2
116.336,40.036,1
116.336,40.085,3
116.337,39.721,1
116.337,39.756,2
116.337,39.789,2
116.337,39.904,4
116.337,39.927,1
116.337,39.933,1
116.337,40.087,2
116.338,39.719,1
116.338,39.896,5
116.338,39.918,3
116.338,39.923,1
116.338,39.975,1
116.338,39.991,3
116.339,39.722,3
116.339,39.729,1
116.339,39.73,2
116.339,39.824,11
116.339,39.825,1
116.339,39.906,73
116.339,40.206,2
116.34,39.725,7
116.34,39.835,4
116.34,39.888,1
116.34,39.955,3
116.341,39.72,2
116.341,39.847,6
116.341,39.856,1
116.341,39.935,1
116.342,39.844,2
116.342,39.891,8
116.342,39.966,11
116.343,39.242,1
116.343,39.906,1
116.343,39.944,3
116.343,39.966,2
116.343,39.999,2
116.344,39.873,5
116.344,39.877,1
116.344,39.881,2
116.344,39.885,1
116.344,39.906,82
116.345,39.9,1
116.345,40.024,3
116.346,39.866,6
116.346,39.894,5
116.346,39.907,4
116.346,39.911,2
116.346,39.971,5
116.346,40.013,1
116.347,39.735,1
116.347,39.875,2
116.347,39.879,12
116.347,39.883,2
116.347,39.891,2
116.347,39.916,13
116.347,39.936,3
116.347,39.981,2
116.347,39.989,1
116.347,40.211,2
116.348,39.719,1
116.348,39.87,5
116.348,39.955,4
116.349,39.717,3
116.349,39.866,3
116.349,39.882,1
116.349,39.888,5
116.349,39.934,6
116.349,39.949,2
116.349,39.951,5
116.35,39.909,2
116.35,39.924,1
116.35,39.946,1
116.35,39.975,2
116.351,39.868,2
116.351,39.882,2
116.352,39.81,3
116.352,39.876,1
116.352,39.888,1
116.352,39.906,122
116.352,39.956,2
116.352,39.966,1
116.352,39.98,5
116.353,39.852,4
116.353,39.878,4
116.353,39.881,4
116.353,39.975,4
116.354,39.852,6
116.355,39.868,4
116.356,39.867,4
116.356,39.868,1
116.356,39.876,6
116.356,39.882,1
116.357,39.899,5
116.358,39.888,3
116.358,39.898,1
116.358,39.906,8
116.358,39.993,1
116.358,39.997,1
116.358,39.998,1
116.358,40.053,2
116.358,40.06,2
116.359,39.792,1
116.359,39.877,2
116.359,39.966,3
116.36,39.82,1
116.36,39.868,4
116.36,39.992,1
116.361,39.829,1
116.361,39.844,2
116.361,39.946,1
116.361,39.966,33
116.361,40.062,2
116.363,39.869,12
116.363,40.224,6
116.364,39.832,2
116.364,39.843,1
116.364,39.888,3
116.364,39.906,7
116.364,39.97,6
116.365,39.846,1
116.365,39.898,1
116.365,40.033,1
116.366,39.849,5
116.366,39.869,6
116.366,39.932,5
116.366,40.0,10
116.367,39.91,2
116.367,39.918,1
116.367,39.92,3
116.367,39.926,1
116.367,39.996,1
116.368,39.701,1
116.368,39.889,3
116.368,39.893,4
116.368,39.896,15
116.368,39.904,6
116.368,39.975,3
116.369,39.868,1
116.369,39.922,1
116.369,39.993,3
116.37,39.864,2
116.37,39.865,1
116.37,39.866,3
116.37,39.877,8
116.371,39.898,2
116.372,39.78,2
116.372,39.83,1
116.372,39.849,13
116.372,39.888,12
116.372,39.906,31
116.372,39.921,2
116.372,40.0,8
116.373,39.831,3
116.373,40.226,2
116.374,39.764,1
116.374,39.931,1
116.374,39.979,2
116.374,39.993,1
116.374,39.996,4
116.375,39.869,1
116.375,39.888,36
116.375,39.973,2
116.375,39.977,1
116.375,40.0,12
116.376,39.703,1
116.376,39.855,10
116.376,39.868,5
116.376,39.869,1
116.376,39.87,2
116.376,39.986,2
116.376,40.061,1
116.377,39.802,3
116.377,39.877,14
116.377,39.882,2
116.377,39.967,2
116.378,39.887,3
116.378,39.892,3
116.378,39.897,3
116.378,39.975,2
116.378,40.062,1
116.379,39.83,3
116.379,39.848,8
116.38,39.85,1
116.38,39.854,1
116.38,39.932,4
116.381,39.855,9
116.381,39.878,3
116.381,40.065,1
116.382,39.805,2
116.382,39.906,13
116.383,39.882,4
116.383,39.921,2
116.383,39.967,1
116.384,39.932,1
116.386,39.855,3
116.386,39.856,1
116.386,39.885,2
116.386,39.975,9
116.387,39.855,10
116.387,39.906,48
116.388,39.87,1
116.388,39.871,4
116.388,39.885,1
116.388,39.961,2
116.388,39.965,1
116.388,39.972,2
116.389,39.806,5
116.389,39.881,1
116.389,39.922,9
116.389,39.953,1
116.39,39.93,9
116.39,39.936,2
116.391,39.879,3
116.392,39.883,1
116.392,39.884,12
116.392,39.887,1
116.393,39.83,1
116.393,39.863,11
116.393,39.923,11
116.393,40.001,3
116.394,39.859,16
116.394,39.872,9
116.394,39.876,34
116.394,39.897,2
116.394,39.939,1
116.394,39.975,7
116.394,40.229,2
116.395,39.63,1
116.395,39.806,4
116.395,39.812,2
116.395,39.815,4
116.395,39.821,2
116.395,39.894,1
116.395,39.899,3
116.396,39.623,1
116.396,39.906,37
116.396,39.967,5
116.396,39.987,2
116.397,39.615,2
116.398,39.855,9
116.398,39.899,2
116.398,39.923,9
116.398,39.975,1
116.399,39.871,2
116.399,39.927,2
116.399,39.939,2
116.399,40.001,6
116.399,40.192,8
116.4,39.886,11
116.4,39.902,3
116.4,39.909,2
116.4,39.923,1
116.4,39.997,6
116.401,39.955,1
116.401,39.958,3
116.401,39.963,2
116.401,39.97,1
116.401,39.971,3
116.401,39.992,3
116.401,39.996,4
116.401,40.197,2
116.402,39.952,2
116.402,40.126,6
116.403,39.703,1
116.403,39.899,13
116.403,39.923,1
116.403,40.136,2
116.403,40.153,3
116.404,39.918,6
116.404,40.001,6
116.405,39.917,3
116.405,39.982,3
116.405,40.113,8
116.405,40.145,4
116.406,39.685,1
116.406,39.871,2
116.406,39.906,2
116.406,39.923,7
116.406,40.083,8
116.406,40.102,13
116.407,39.907,26
116.407,39.923,9
116.407,39.997,2
116.407,40.052,1
116.407,40.055,3
116.407,40.206,2
116.408,39.932,8
116.408,40.08,1
116.409,39.645,1
116.409,39.656,1
116.409,39.899,2
116.409,39.982,2
116.409,40.001,1
116.409,40.224,3
116.41,39.615,4
116.41,39.899,2
116.41,39.907,24
116.41,39.917,2
116.41,39.935,2
